Config	Symbol	ADG Long	Days on Binance
.\recursive_longonly_03-18-23\RUNEUSDT_20230317185618_eead0\RUNEUSDT	RUNEUSDT	0.07%	935
.\recursive_longonly_03-23-23\ROSEUSDT_20230323041214_98a5b\ROSEUSDT	ROSEUSDT	0.07%	859
.\recursive_longonly_03-18-23\XTZUSDT_20230317185618_eead0\XTZUSDT	XTZUSDT	0.06%	1281
.\recursive_longonly_03-18-23\RENUSDT_20230317185618_eead0\RENUSDT	RENUSDT	0.06%	1280
.\recursive_longonly_03_26_23\VETUSDT_20230327051838_b74b7\VETUSDT	VETUSDT	0.06%	1707
.\recursive_longonly_03-17-23\DYDXUSDT_20230316194859_9c85d\DYDXUSDT	DYDXUSDT	0.06%	565
.\recursive_longonly_03-18-23\BNBUSDT_20230317185618_eead0\BNBUSDT	BNBUSDT	0.06%	1968
.\recursive_longonly_03_26_23\RENUSDT_20230327051838_b74b7\RENUSDT	RENUSDT	0.06%	1280
.\recursive_longonly_03-18-23\ROSEUSDT_20230317185618_eead0\ROSEUSDT	ROSEUSDT	0.06%	859
.\recursive_longonly_03-17-23\ETHUSDT_20230316194859_9c85d\ETHUSDT	ETHUSDT	0.06%	2049
.\recursive_longonly_03-17-23\XTZUSDT_20230316194859_9c85d\XTZUSDT	XTZUSDT	0.06%	1281
.\recursive_longonly_03-17-23\ROSEUSDT_20230316194859_9c85d\ROSEUSDT	ROSEUSDT	0.06%	859
